291: loss=0.770, reward_mean=43.9, reward_bound=137.8
292: loss=0.763, reward_mean=-51.4, reward_bound=116.3
293: loss=0.770, reward_mean=44.3, reward_bound=113.2
294: loss=0.765, reward_mean=69.1, reward_bound=133.9
295: loss=0.668, reward_mean=84.4, reward_bound=176.5
296: loss=0.733, reward_mean=78.7, reward_bound=147.8
297: loss=0.772, reward_mean=-14.3, reward_bound=144.5
298: loss=0.789, reward_mean=4.9, reward_bound=134.2
299: loss=0.678, reward_mean=4.8, reward_bound=125.0
300: loss=0.854, reward_mean=-2.9, reward_bound=91.2
301: loss=0.696, reward_mean=81.4, reward_bound=160.3
302: loss=0.673, reward_mean=56.1, reward_bound=154.3
303: loss=0.818, reward_mean=22.7, reward_bound=154.1
304: loss=0.781, reward_mean=47.0, reward_bound=129.9
305: loss=0.740, reward_mean=41.7, reward_bound=156.1
306: loss=0.636, reward_mean=41.5, reward_bound=154.6
307: loss=0.682, reward_mean=1.3, reward_bound=139.3
308: loss=0.716, reward_mean=30.3, reward_bound=141.0
309: loss=0.662, reward_mean=7.3, reward_bound=135.9
310: loss=0.682, reward_mean=47.7, reward_bound=159.7
311: loss=0.679, reward_mean=30.6, reward_bound=70.8
312: loss=0.602, reward_mean=54.2, reward_bound=156.4
313: loss=0.568, reward_mean=70.3, reward_bound=172.3
314: loss=0.673, reward_mean=54.4, reward_bound=188.1
315: loss=0.736, reward_mean=62.2, reward_bound=157.5
316: loss=0.675, reward_mean=11.6, reward_bound=18.1
317: loss=0.492, reward_mean=68.5, reward_bound=148.1
318: loss=0.604, reward_mean=9.5, reward_bound=161.6
319: loss=0.594, reward_mean=31.0, reward_bound=85.2
320: loss=0.643, reward_mean=32.0, reward_bound=22.6
321: loss=0.543, reward_mean=30.8, reward_bound=20.1
322: loss=0.554, reward_mean=34.2, reward_bound=146.1
323: loss=0.573, reward_mean=77.2, reward_bound=160.4
324: loss=0.631, reward_mean=129.0, reward_bound=215.3
325: loss=0.406, reward_mean=22.8, reward_bound=49.7
326: loss=0.562, reward_mean=41.7, reward_bound=90.5
327: loss=0.535, reward_mean=66.8, reward_bound=112.0
328: loss=0.685, reward_mean=8.2, reward_bound=30.1
329: loss=0.594, reward_mean=55.8, reward_bound=92.7
330: loss=0.522, reward_mean=-2.3, reward_bound=18.4
331: loss=0.582, reward_mean=72.9, reward_bound=171.2
332: loss=0.588, reward_mean=74.9, reward_bound=183.4
333: loss=0.574, reward_mean=50.7, reward_bound=181.3
334: loss=0.614, reward_mean=71.7, reward_bound=168.6
335: loss=0.579, reward_mean=34.3, reward_bound=147.8
336: loss=0.762, reward_mean=88.1, reward_bound=172.6
337: loss=0.754, reward_mean=18.7, reward_bound=133.3
338: loss=0.535, reward_mean=43.3, reward_bound=164.9
339: loss=0.582, reward_mean=31.3, reward_bound=155.6
340: loss=0.652, reward_mean=39.9, reward_bound=162.5
341: loss=0.697, reward_mean=60.5, reward_bound=119.0
342: loss=0.697, reward_mean=8.0, reward_bound=133.8
343: loss=0.738, reward_mean=-65.9, reward_bound=-52.7
344: loss=0.669, reward_mean=-99.0, reward_bound=-84.9
345: loss=0.854, reward_mean=-106.7, reward_bound=-84.9
346: loss=0.683, reward_mean=-71.6, reward_bound=-75.8
347: loss=0.730, reward_mean=-85.0, reward_bound=-103.8
348: loss=0.647, reward_mean=-46.9, reward_bound=-39.0
349: loss=0.582, reward_mean=27.5, reward_bound=140.5
350: loss=0.603, reward_mean=-3.1, reward_bound=113.0
351: loss=0.551, reward_mean=72.2, reward_bound=183.7
352: loss=0.663, reward_mean=-15.0, reward_bound=-25.1
353: loss=0.851, reward_mean=-41.0, reward_bound=-44.6
354: loss=0.768, reward_mean=-26.8, reward_bound=-35.4
355: loss=0.620, reward_mean=-8.0, reward_bound=-28.5
356: loss=0.740, reward_mean=-50.4, reward_bound=-35.8
357: loss=0.811, reward_mean=-75.8, reward_bound=-34.8
358: loss=0.563, reward_mean=33.2, reward_bound=156.5
359: loss=0.633, reward_mean=19.2, reward_bound=71.5
360: loss=0.549, reward_mean=49.0, reward_bound=183.3
361: loss=0.668, reward_mean=-8.5, reward_bound=4.0
362: loss=0.648, reward_mean=12.0, reward_bound=10.6
363: loss=0.692, reward_mean=13.8, reward_bound=-9.7
364: loss=0.583, reward_mean=29.5, reward_bound=-5.3
365: loss=0.752, reward_mean=5.1, reward_bound=-10.4
366: loss=0.669, reward_mean=12.0, reward_bound=-14.5
367: loss=0.639, reward_mean=-17.8, reward_bound=-3.7
368: loss=0.635, reward_mean=-0.6, reward_bound=-0.9
369: loss=0.653, reward_mean=35.8, reward_bound=137.4
370: loss=0.573, reward_mean=52.9, reward_bound=169.4
371: loss=0.576, reward_mean=51.5, reward_bound=160.1
372: loss=0.602, reward_mean=58.6, reward_bound=179.8
373: loss=0.532, reward_mean=-31.0, reward_bound=69.8
374: loss=0.613, reward_mean=51.6, reward_bound=172.1
375: loss=0.623, reward_mean=112.2, reward_bound=188.2
376: loss=0.626, reward_mean=-26.0, reward_bound=101.7
377: loss=0.644, reward_mean=67.8, reward_bound=161.0
378: loss=0.595, reward_mean=-16.3, reward_bound=115.4
379: loss=0.611, reward_mean=62.2, reward_bound=166.1
380: loss=0.798, reward_mean=47.6, reward_bound=156.7
381: loss=0.709, reward_mean=52.0, reward_bound=149.1
382: loss=0.794, reward_mean=23.2, reward_bound=141.2
383: loss=0.751, reward_mean=-6.3, reward_bound=109.9
384: loss=0.776, reward_mean=21.5, reward_bound=143.5
385: loss=0.711, reward_mean=-0.9, reward_bound=153.7
386: loss=0.755, reward_mean=-99.7, reward_bound=132.9
387: loss=0.606, reward_mean=-0.4, reward_bound=109.0
388: loss=0.703, reward_mean=82.6, reward_bound=159.5
389: loss=0.602, reward_mean=108.9, reward_bound=162.8
390: loss=0.610, reward_mean=61.5, reward_bound=154.6
391: loss=0.667, reward_mean=8.1, reward_bound=154.8
392: loss=0.748, reward_mean=97.1, reward_bound=164.8
393: loss=0.719, reward_mean=73.6, reward_bound=173.0
394: loss=0.612, reward_mean=48.4, reward_bound=160.1
395: loss=0.557, reward_mean=58.0, reward_bound=190.2
396: loss=0.562, reward_mean=56.2, reward_bound=165.5
397: loss=0.573, reward_mean=26.1, reward_bound=133.4
398: loss=0.557, reward_mean=18.7, reward_bound=73.9
399: loss=0.614, reward_mean=7.6, reward_bound=129.9
400: loss=0.635, reward_mean=71.3, reward_bound=190.1
401: loss=0.488, reward_mean=90.1, reward_bound=177.4
402: loss=0.581, reward_mean=0.4, reward_bound=89.5
403: loss=0.535, reward_mean=-13.3, reward_bound=49.8
404: loss=0.552, reward_mean=29.3, reward_bound=152.9
405: loss=0.621, reward_mean=46.1, reward_bound=157.5
406: loss=0.559, reward_mean=57.8, reward_bound=172.3
407: loss=0.643, reward_mean=28.6, reward_bound=54.0
408: loss=0.613, reward_mean=75.3, reward_bound=198.3
409: loss=0.527, reward_mean=27.1, reward_bound=95.4
410: loss=0.590, reward_mean=16.9, reward_bound=74.9
411: loss=0.605, reward_mean=92.3, reward_bound=181.5
412: loss=0.578, reward_mean=16.1, reward_bound=88.0
413: loss=0.573, reward_mean=58.6, reward_bound=161.9
414: loss=0.660, reward_mean=66.2, reward_bound=187.9
415: loss=0.540, reward_mean=122.1, reward_bound=198.2
416: loss=0.578, reward_mean=42.5, reward_bound=135.6
417: loss=0.687, reward_mean=49.4, reward_bound=131.2
418: loss=0.684, reward_mean=32.9, reward_bound=125.3
419: loss=0.729, reward_mean=-30.1, reward_bound=-2.0
420: loss=0.892, reward_mean=-37.1, reward_bound=-22.7
421: loss=0.883, reward_mean=-53.8, reward_bound=-40.9
422: loss=0.908, reward_mean=-48.2, reward_bound=-33.2
423: loss=0.921, reward_mean=-60.6, reward_bound=-46.6
424: loss=0.925, reward_mean=-76.6, reward_bound=-66.8
425: loss=0.905, reward_mean=-98.7, reward_bound=-77.7
426: loss=0.914, reward_mean=-127.3, reward_bound=-117.5
427: loss=0.908, reward_mean=-139.4, reward_bound=-113.1
428: loss=0.918, reward_mean=-114.9, reward_bound=-101.9
429: loss=0.903, reward_mean=-72.5, reward_bound=-60.1
430: loss=0.906, reward_mean=-70.9, reward_bound=-58.0
431: loss=0.923, reward_mean=-52.4, reward_bound=-41.4
432: loss=0.926, reward_mean=-44.6, reward_bound=-32.4
433: loss=0.925, reward_mean=-37.1, reward_bound=-27.7
434: loss=0.924, reward_mean=-27.8, reward_bound=-4.6
435: loss=0.907, reward_mean=-18.5, reward_bound=-8.6
436: loss=0.773, reward_mean=-24.5, reward_bound=1.6
437: loss=0.747, reward_mean=-10.3, reward_bound=83.9
438: loss=0.719, reward_mean=93.7, reward_bound=175.2
439: loss=0.660, reward_mean=76.9, reward_bound=183.7
440: loss=0.750, reward_mean=111.2, reward_bound=211.6
441: loss=0.673, reward_mean=76.1, reward_bound=181.8
442: loss=0.604, reward_mean=74.3, reward_bound=194.5
443: loss=0.563, reward_mean=112.5, reward_bound=189.1
444: loss=0.597, reward_mean=139.9, reward_bound=214.9
445: loss=0.549, reward_mean=86.0, reward_bound=198.9
446: loss=0.514, reward_mean=79.2, reward_bound=172.5
447: loss=0.492, reward_mean=119.3, reward_bound=185.3
448: loss=0.506, reward_mean=110.4, reward_bound=204.0
449: loss=0.440, reward_mean=84.5, reward_bound=168.8
450: loss=0.579, reward_mean=162.5, reward_bound=239.6
451: loss=0.500, reward_mean=131.2, reward_bound=206.4
452: loss=0.448, reward_mean=121.1, reward_bound=214.7
453: loss=0.513, reward_mean=113.5, reward_bound=208.8
454: loss=0.376, reward_mean=75.0, reward_bound=111.4
455: loss=0.403, reward_mean=51.7, reward_bound=63.4
456: loss=0.455, reward_mean=62.0, reward_bound=66.2
457: loss=0.449, reward_mean=155.7, reward_bound=235.6
458: loss=0.378, reward_mean=71.7, reward_bound=100.7
459: loss=0.462, reward_mean=89.5, reward_bound=102.5
460: loss=0.545, reward_mean=183.2, reward_bound=241.8
461: loss=0.409, reward_mean=99.1, reward_bound=183.8
462: loss=0.530, reward_mean=175.4, reward_bound=249.4
463: loss=0.397, reward_mean=130.9, reward_bound=199.5
464: loss=0.468, reward_mean=152.4, reward_bound=212.0
465: loss=0.493, reward_mean=107.4, reward_bound=224.7
466: loss=0.403, reward_mean=81.2, reward_bound=159.4
467: loss=0.467, reward_mean=133.4, reward_bound=205.5
468: loss=0.411, reward_mean=113.4, reward_bound=186.4
469: loss=0.342, reward_mean=103.2, reward_bound=161.1
470: loss=0.335, reward_mean=102.9, reward_bound=171.1
471: loss=0.420, reward_mean=117.6, reward_bound=209.9
472: loss=0.348, reward_mean=185.4, reward_bound=232.7
473: loss=0.420, reward_mean=173.9, reward_bound=229.8
